Tweet,URL,Date
Mesmerising sound 🎼 https://t.co/flRtx8BlUQ,https://twitter.com/Prathkum/status/1475087450494017538,2021-12-26 12:53:48+00:00
And Keychron k8 in action! ⌨️ https://t.co/wsc0alcxt8,https://twitter.com/Prathkum/status/1475059673237651460,2021-12-26 11:03:26+00:00
@FrancescoCiull4 🤭🤣,https://twitter.com/Prathkum/status/1475057380563898368,2021-12-26 10:54:19+00:00
@Sauain @FrancescoCiull4 On point! 🔥,https://twitter.com/Prathkum/status/1475013295987855361,2021-12-26 07:59:08+00:00
How it started                How it’s going https://t.co/lh0dS3TZzw,https://twitter.com/Prathkum/status/1475011445511245825,2021-12-26 07:51:47+00:00
Made this on iPad https://t.co/8YUr7msHVC,https://twitter.com/Prathkum/status/1474985364414615552,2021-12-26 06:08:09+00:00
"@csaba_kissi @amir_kamizi @hassibmoddasser @heyOnuoha @SimonHoiberg @rjeffvalle @jbrooksuk @VittoStack Csaba, you’re an inspiration for me! ❤️",https://twitter.com/Prathkum/status/1474796319071895552,2021-12-25 17:36:57+00:00
@amir_kamizi You are doing a phenomenal job here. 🚀,https://twitter.com/Prathkum/status/1474794554972794881,2021-12-25 17:29:56+00:00
Bad boys are here! 🥷 https://t.co/Yv8uovO2w5,https://twitter.com/Prathkum/status/1474765046668431364,2021-12-25 15:32:41+00:00
"Online presence is really beneficial.
Trust me!

Before 2021:
- Just a student

End of 2021:
- 6 figures earning
- Content creator
- Got several job opportunities
- Freelancer and Influencer
- Did several paid content
- Published two books

Enhance your network. This is the way!",https://twitter.com/Prathkum/status/1474736270681145345,2021-12-25 13:38:20+00:00
"Merry Christmas everyone 🎅🎄

Wishing you a great year ahead.",https://twitter.com/Prathkum/status/1474662765994254337,2021-12-25 08:46:15+00:00
@krish_the_dev @_pratikpakhale 😁😁,https://twitter.com/Prathkum/status/1474661909387382787,2021-12-25 08:42:51+00:00
"@khushbooverma_ Congratulations, Khushboo! 

50K is around the corner. 😁",https://twitter.com/Prathkum/status/1474359490984120322,2021-12-24 12:41:09+00:00
"@aaditsh @visualizevalue Damn man! Crazy growth. Love you threads, they are unique and always with some new takeaways. 🚀❤️",https://twitter.com/Prathkum/status/1474244590601322499,2021-12-24 05:04:35+00:00
"Getting rich by money overnight is not known as overnight success. Years of hardwork, countless sleepless nights for that one day where people recognize you and your work is known as overnight success.",https://twitter.com/Prathkum/status/1474243645620453378,2021-12-24 05:00:49+00:00
"If you don't know about Froala or FusionCharts

https://t.co/88N82RJn7q

https://t.co/1lxumBtFmd",https://twitter.com/Prathkum/status/1474058162009485319,2021-12-23 16:43:47+00:00
"Happy Holidays everyone! 🎅

I brought you the two great deals

⚡ FROALAHOLIDAY ⚡
- 35% off on Froala (https://t.co/BwhlZjgS8B) subscription

⚡ FROALAHOLIDAY ⚡
- 25% off on FusionCharts (https://t.co/Te7KTwdqCq) subscription",https://twitter.com/Prathkum/status/1474058157664182276,2021-12-23 16:43:46+00:00
"Lo code/No code tools unlock the full potential of a developer. 🚀

Found https://t.co/9OgALL2kJL

It can generate infrastructure for your code in your AWS account. So you can build on AWS without having to learn it.

 Super cool! https://t.co/Z7p6yk8CWJ",https://twitter.com/Prathkum/status/1473949440188850179,2021-12-23 09:31:45+00:00
@Rapid_API Bunch of useful information for web developers in well curated handwritten notes!,https://twitter.com/Prathkum/status/1473753561406140417,2021-12-22 20:33:24+00:00
@FrancescoCiull4 Make sure to divide the earnings ahaha! 😂,https://twitter.com/Prathkum/status/1473753037625696256,2021-12-22 20:31:19+00:00
"So many awesome developers will try to solve bugs in this livestream.

Make sure you join and complicate debugging process! 🐞

Dec 23, 1 pm CET | 5:30 pm IST",https://twitter.com/Prathkum/status/1473752676491882496,2021-12-22 20:29:53+00:00
"@csaba_kissi I’m using my ₹80 wallet that I bought 5 years ago.

There isn't much money inside but there are a lot of credit and debit cards in it.

Thanks to Twitter and content creation.",https://twitter.com/Prathkum/status/1473751520151683078,2021-12-22 20:25:18+00:00
@FrancescoCiull4 @anniebombanie_ @DailyDevTips1 @eddiejaoude @idoshamun @accolades_dev @VittoStack @saminacodes Perfect! Let’s do it 🎄,https://twitter.com/Prathkum/status/1473710157582548993,2021-12-22 17:40:56+00:00
@PurveePriya @KevinJPowell would love this.,https://twitter.com/Prathkum/status/1473709803092520970,2021-12-22 17:39:31+00:00
"It’s hard for me to believe that I added 100K followers in 2021 ❤️🙌🏻

Networking is all your need to boost your career.",https://twitter.com/Prathkum/status/1473627277665595399,2021-12-22 12:11:36+00:00
@MaedahBatool You too! 😁,https://twitter.com/Prathkum/status/1473490625412550662,2021-12-22 03:08:35+00:00
@vphreak You’re an inspiration. 🙌🏻,https://twitter.com/Prathkum/status/1473487877367484416,2021-12-22 02:57:40+00:00
"I’m wrapping up 2021 with

- Huge online presence 🌐
- Full time job 💼
- 5 figure compensation 💸
- Developed new skills 👨‍💻
- and a bunch of other good things

Never thought that this could happen to me too.

Let’s start 2022 on a high note!",https://twitter.com/Prathkum/status/1473485684769845248,2021-12-22 02:48:57+00:00
"@germanpineda_ Yeah, give it a go. It’s awesome",https://twitter.com/Prathkum/status/1473471055607914500,2021-12-22 01:50:50+00:00
"@scrimba Yeah!! This stream was fun.

We should plan an other one.",https://twitter.com/Prathkum/status/1473470833653784580,2021-12-22 01:49:57+00:00
@Rapid_API Well explained about REST in one single note 🔥,https://twitter.com/Prathkum/status/1473470556531924992,2021-12-22 01:48:51+00:00
@jamesqquick @supabase Nice theme. 2077 theme is also quite similar and I’m rocking with it.,https://twitter.com/Prathkum/status/1473400405530800129,2021-12-21 21:10:05+00:00
"Follow this few simple steps to quickly plugin Froala in your React app 👇🏻 

https://t.co/VvNvHuVleN",https://twitter.com/Prathkum/status/1473390483959435264,2021-12-21 20:30:40+00:00
"Are you a web developer? 

Froala is a great editor for creating websites quickly.

You can plugin your favorite framework in just a few simple steps. It supports:

- React
- Angular
- vue
- Django
- Gatsby
- and much more...

🔗 https://t.co/VvNvHuVleN https://t.co/PwmFmw4XJ5",https://twitter.com/Prathkum/status/1473390479182114820,2021-12-21 20:30:39+00:00
@AjeetKhamesra1 Once in a while lol,https://twitter.com/Prathkum/status/1473365255858184193,2021-12-21 18:50:25+00:00
@FrancescoCiull4 You’re a saviour,https://twitter.com/Prathkum/status/1473365060378501120,2021-12-21 18:49:38+00:00
@DeepanjaliPande 100/10 for your new name!,https://twitter.com/Prathkum/status/1473358654405443584,2021-12-21 18:24:11+00:00
Rate my setup cable management skills 😎 https://t.co/oYL5DYeDZW,https://twitter.com/Prathkum/status/1473357605359603714,2021-12-21 18:20:01+00:00
@Rapid_API Great curated list of AI APIs. Helpful in creating excellent projects! 🚀,https://twitter.com/Prathkum/status/1473309942530514944,2021-12-21 15:10:37+00:00
@khushbooverma_ Damn! Future is nothing without tech.,https://twitter.com/Prathkum/status/1473188898842943489,2021-12-21 07:09:38+00:00
"Learn Web Development for free in 2022👇

Notes 📃
→ w3 schools
→ Mdn
→ GeeksforGeeks

YouTube 🎥
→ Traversy Media 
→ RapidAPI Courses
→ JavaScript Mastery

Website 🌐
→ freeCodeCamp
→ Codecademy
→ @Rapid_API Learn

Practice 💻
→ Frontend Mentor
→ TestDome",https://twitter.com/Prathkum/status/1473188664230354951,2021-12-21 07:08:42+00:00
"I made Mickey Mouse using CSS 🐭

Zero div! https://t.co/0gXaXNlJMc",https://twitter.com/Prathkum/status/1473161493524844552,2021-12-21 05:20:44+00:00
@Rapid_API Best ever introduction to Async APIs 🚀,https://twitter.com/Prathkum/status/1473018283666206722,2021-12-20 19:51:40+00:00
"Watch it now if in case you missed @Rapid_API in Action live stream! 🚀

https://t.co/5ZJYylndEw https://t.co/PMraJ9VicB",https://twitter.com/Prathkum/status/1472998724896845824,2021-12-20 18:33:57+00:00
"Join me in 30 minutes 🚀

@Rapid_API in Action. I have some great resources and things for developers 😉

https://t.co/5ZJYylndEw",https://twitter.com/Prathkum/status/1472967406095978496,2021-12-20 16:29:30+00:00
It’s here! @elgato Facecam! 📷 https://t.co/R6Ea2MgPoq,https://twitter.com/Prathkum/status/1472853234179997696,2021-12-20 08:55:49+00:00
@levelsio Best strategy for promotion than ever. 🚀,https://twitter.com/Prathkum/status/1472515866042372097,2021-12-19 10:35:15+00:00
"@type__error Here’s a great note on CORS 👇

https://t.co/UPN9l4p15G",https://twitter.com/Prathkum/status/1472430460399546375,2021-12-19 04:55:52+00:00
@ravinwashere iPad pro in action! 🔥,https://twitter.com/Prathkum/status/1472200632828264449,2021-12-18 13:42:37+00:00
"@mcgillmd921 Real motivation! Thanks, Michael!",https://twitter.com/Prathkum/status/1472197897269628932,2021-12-18 13:31:45+00:00
Thinking of converting it into NFT 😉,https://twitter.com/Prathkum/status/1472181556844261376,2021-12-18 12:26:49+00:00
@Rapid_API Excellent APIs for machine learning models 🚀,https://twitter.com/Prathkum/status/1472116901639720963,2021-12-18 08:09:54+00:00
@csaba_kissi Good idea. 😉,https://twitter.com/Prathkum/status/1471929964253433860,2021-12-17 19:47:05+00:00
"@htmleverything Oh, let me tell him about all the podcasts I did. 😬",https://twitter.com/Prathkum/status/1471929552079257600,2021-12-17 19:45:27+00:00
"@Adyasha8105 Already did! 😉

I gave him a brief overview of all the videos.",https://twitter.com/Prathkum/status/1471929301180162053,2021-12-17 19:44:27+00:00
Found a cute thing. I randomly checked my dad’s phone found that he has saved all the YouTube videos I featured in. He can’t speak or understand English.,https://twitter.com/Prathkum/status/1471927427781693442,2021-12-17 19:37:00+00:00
3D drop using CSS 💧 https://t.co/9mpwt31pUC,https://twitter.com/Prathkum/status/1471880296974880770,2021-12-17 16:29:43+00:00
"145,000 🙌🏻❤️

Can we end this year with 150,000?",https://twitter.com/Prathkum/status/1471741103481110531,2021-12-17 07:16:37+00:00
@RealChrisSean Please come 😂,https://twitter.com/Prathkum/status/1471730560691105793,2021-12-17 06:34:43+00:00
@Sarthaksavvy Bhai most welcome! 🙌🏻,https://twitter.com/Prathkum/status/1471730476691779588,2021-12-17 06:34:23+00:00
Anyone from New Delhi? Let’s meet in real. 🤜🏻🤛🏻,https://twitter.com/Prathkum/status/1471557470526922754,2021-12-16 19:06:55+00:00
@ossia Thanks Quincy! ❤️🙌🏻,https://twitter.com/Prathkum/status/1471538395566338048,2021-12-16 17:51:08+00:00
"@tdinh_me Super useful tool for content creators 🙌🏻

Thanks for creating it, Tony!",https://twitter.com/Prathkum/status/1471537430796722176,2021-12-16 17:47:18+00:00
@TrallaG https://t.co/7CtWOP3luF,https://twitter.com/Prathkum/status/1471529152910020610,2021-12-16 17:14:24+00:00
"@web_dev_dan Thank you, Dan!",https://twitter.com/Prathkum/status/1471527418749874177,2021-12-16 17:07:30+00:00
@XScoder Thanks! ❤️,https://twitter.com/Prathkum/status/1471527370330832898,2021-12-16 17:07:19+00:00
@Rapid_API Widely used HTTP headers! 🔥,https://twitter.com/Prathkum/status/1471491502144569347,2021-12-16 14:44:47+00:00
@joshlim Check out my Twitter cover image,https://twitter.com/Prathkum/status/1471478263813787653,2021-12-16 13:52:11+00:00
@codingekjot Nope! All CSS,https://twitter.com/Prathkum/status/1471478114194628609,2021-12-16 13:51:35+00:00
Created a 3d Twitter header using CSS. Take a look 😉,https://twitter.com/Prathkum/status/1471457897737457666,2021-12-16 12:31:15+00:00
JavaScript Array Methods https://t.co/VTAoLvJF85,https://twitter.com/Prathkum/status/1471372847851270144,2021-12-16 06:53:18+00:00
Fleets are back but in a different way. https://t.co/TNYCaY2DIL,https://twitter.com/Prathkum/status/1471341613322436609,2021-12-16 04:49:11+00:00
@csaba_kissi Fastest and easiest! 😉,https://twitter.com/Prathkum/status/1471204725743710208,2021-12-15 19:45:14+00:00
"This is how you can start with web development👇

- Open your computer
- Open chrome
- Search ""w3 schools HTML"" on google
- Read some articles
- Open notepad(editor)
- Write HTML code
- Save file as index.html
- Open file in browser
- Congrats! You just created your first webpage",https://twitter.com/Prathkum/status/1471204351209193476,2021-12-15 19:43:45+00:00
"Check out GRUI if you're building data app using React.

It is a high performance grid for React UI.

➣ Handle millions of records with ease 📊
➣ Infinite scrolling, paging, and much more 📄
➣ Fully customizable in styling 🎨
➣ Easy integration 🔌

🖇 https://t.co/v9netF6lNT https://t.co/xhCiOpYRPv",https://twitter.com/Prathkum/status/1470987667315769348,2021-12-15 05:22:44+00:00
"2021 was a year for me where I surprised everyone.

Created ~150K audience and earned ~$40,000 just by creating content. Thinking of building a discord server where I'll reveal my secrets. 😉

Drop a comment below if this sounds interesting.",https://twitter.com/Prathkum/status/1470830192318844930,2021-12-14 18:56:59+00:00
@Rapid_API A simple but concise introduction to curl 🔥,https://twitter.com/Prathkum/status/1470828011683414018,2021-12-14 18:48:19+00:00
"Web Development project ideas💡

1. Landing page 📝
2. Portfolio 📂
3. Survey form 📄
4. Quiz app 🔘
5. Calculator 📟
6. Music player 🎶
7. Random quote generator ✏️
8. Chat app 📲
9. Notes app ✍️
10. Todo 📃
11. eCommerce 🛒

Project based learning is the best 🚀",https://twitter.com/Prathkum/status/1470790060203077632,2021-12-14 16:17:30+00:00
"@MrAhmadAwais @satyanadella @Microsoft Your contribution in open source and dev community is worth mentioning everywhere.

Congrats! Such a great moment for you.",https://twitter.com/Prathkum/status/1470780341078085648,2021-12-14 15:38:53+00:00
@facetimeJS JavaScript is so powerful that it can make $100K per year 😁,https://twitter.com/Prathkum/status/1470773837583294465,2021-12-14 15:13:03+00:00
"Useful sites for developers 👇🏻 

➣ https://t.co/m757CHTwUR
• Short/long form API development content.

➣ https://t.co/yMUkNL4ekv
• Challenges, interactive examples, and quizzes.

➣ https://t.co/YCef60BCrl
• Free video courses by RapidAPI Developer Experts.",https://twitter.com/Prathkum/status/1470460041400442884,2021-12-13 18:26:08+00:00
"thirdweb is here 🔥

A great infrastructure to unlock the real potential of web3 and making it more and more accessible.

I’m gonna deep dive into web3 space now. Be ready for my NFT 😉",https://twitter.com/Prathkum/status/1470456005989322754,2021-12-13 18:10:06+00:00
"@ossia @crowdin freeCodeCamp is an excellent place to start with coding and now it’s expanding it reach to all over the world.

I’m really looking forward to the curriculum in Hindi. Feel free to include me if I can help you in any way. 😁",https://twitter.com/Prathkum/status/1470426087968501763,2021-12-13 16:11:13+00:00
"@nachoiacovino @thirdweb_ Congratulations!

The thirdweb is really making web3.0 more accessible. To the moon! 🚀",https://twitter.com/Prathkum/status/1470424037276876804,2021-12-13 16:03:04+00:00
@AjeetKhamesra1 New apartment.,https://twitter.com/Prathkum/status/1469934816665554945,2021-12-12 07:39:05+00:00
"Moved to the new place.

Will update soon after setting up everything 😉 https://t.co/aBJtoXht0y",https://twitter.com/Prathkum/status/1469913745228926977,2021-12-12 06:15:21+00:00
@Sauain 💜,https://twitter.com/Prathkum/status/1469580266272268292,2021-12-11 08:10:13+00:00
"Useful note for web developers 🔥

HTTP Status Codes",https://twitter.com/Prathkum/status/1469517653991559171,2021-12-11 04:01:25+00:00
@csaba_kissi https://t.co/KR3O4KTuPY,https://twitter.com/Prathkum/status/1469391668772179968,2021-12-10 19:40:48+00:00
@Rapid_API Great explanation of HTTP status codes,https://twitter.com/Prathkum/status/1469386698589020160,2021-12-10 19:21:03+00:00
"Check out this excellent tool for developers 🛠️

Froala is a WYSIWYG HTML Editor that you can integrate n your SaaS app or LMS.

It makes web development more effortless than ever.

🔗 https://t.co/KYqtiHcFBh https://t.co/j6NUdqgGxJ",https://twitter.com/Prathkum/status/1469329003899236361,2021-12-10 15:31:47+00:00
Real motivation ✨,https://twitter.com/Prathkum/status/1469283144322871300,2021-12-10 12:29:34+00:00
@VittoStack Well said Vitto! 🔥🙌🏻,https://twitter.com/Prathkum/status/1469269414595883009,2021-12-10 11:35:00+00:00
"It's never too late, never too early. Your current age is the perfect age to start with new things.",https://twitter.com/Prathkum/status/1469167973743030275,2021-12-10 04:51:55+00:00
@Rapid_API Well explained 🙌🏻,https://twitter.com/Prathkum/status/1469030963573190656,2021-12-09 19:47:29+00:00
@branmcconnell Wow! Such a great update especially for me as I’m CSS lover 😅,https://twitter.com/Prathkum/status/1468976798633381890,2021-12-09 16:12:15+00:00
@PurveePriya Thanks!! But I want to be first Pratham 😉,https://twitter.com/Prathkum/status/1468961450370560000,2021-12-09 15:11:16+00:00
@BhosalePratim Prettier than this. I need to improve my handwriting on iPad.,https://twitter.com/Prathkum/status/1468815275218792450,2021-12-09 05:30:25+00:00
CSS Positioning https://t.co/SHvELH6fJl,https://twitter.com/Prathkum/status/1468811941950865413,2021-12-09 05:17:10+00:00
"RapidAPI State of APIs developer survey is here. 🐙

It shows several great stats:

- JavaScript and Python are two widely used languages 🚀
- 72.7% expect to rely on APIs even more in 2022 ⛓
- 92.3% respondents test their APIs 🧪

https://t.co/il0a3UFb1s https://t.co/XT6zqgcS35",https://twitter.com/Prathkum/status/1468811173562765317,2021-12-09 05:14:07+00:00
@SavvasStephnds Will try hard! 😁,https://twitter.com/Prathkum/status/1468664160640667650,2021-12-08 19:29:57+00:00
@catalinmpit Thanks! 🙌🏻,https://twitter.com/Prathkum/status/1468664103979732995,2021-12-08 19:29:43+00:00
@htmleverything Haha! I used to post daily thread in mid 2021 then I reduced the frequency. Will try to catch the pace again. 🙌🏻,https://twitter.com/Prathkum/status/1468664065417302018,2021-12-08 19:29:34+00:00
@FrancescoCiull4 Coming soon! Very soon!! 😂😂,https://twitter.com/Prathkum/status/1468663804644900865,2021-12-08 19:28:32+00:00
"2022 will be big.

What my 2022 will look like👇
 
- Post daily threads about web development 🌐
- Content creation on YouTube 🎥
- Launch a course 👨‍🏫
- Help millions of people starting in tech 👥
- Buy a house from my earnings 🏠

Follow me and let’s make this happen. 🚀",https://twitter.com/Prathkum/status/1468659506619899904,2021-12-08 19:11:27+00:00
@bittukumar_97 Try this one 😉,https://twitter.com/Prathkum/status/1468654469357314052,2021-12-08 18:51:26+00:00
@csaba_kissi True! Glad you like it.,https://twitter.com/Prathkum/status/1468654432103526401,2021-12-08 18:51:17+00:00
"It's essential to add visualization to your web app

FusionCharts has over 100 charts and 200 maps. So if you're building a finance app or maybe a COVID tracker, definitely use it.

- Support React/Vue/Angualar
- Customizable
- Extensive documentation

🔗 https://t.co/2WN1zfRpLv https://t.co/08i8Ii8XGO",https://twitter.com/Prathkum/status/1468651755340808196,2021-12-08 18:40:39+00:00
"@MrAhmadAwais Awesome Webpage! 

Full of animations. 💥",https://twitter.com/Prathkum/status/1468650693279895552,2021-12-08 18:36:26+00:00
"@Wattenberger Thank you, Amelia! 

The web page turned out to be so good than my expectations. I love animations, interactive components, charts, SVG and everything 🙌🏻😍",https://twitter.com/Prathkum/status/1468632005520740353,2021-12-08 17:22:10+00:00
"@Rapid_API I’m super thrilled that it launched. 

Months of hard work collecting logical data and then bringing it into a great webpage showing how diligently everyone worked.

@Rapid_API is here to provide the best possible API development experience.",https://twitter.com/Prathkum/status/1468629785676955651,2021-12-08 17:13:21+00:00
"I guarantee you have never seen such a great effort by teams for any survey.

@Rapid_API launched State of APIs developer survey. 

Check it out. It will blow your mind. 🚀

https://t.co/Zpv1wUfJ65",https://twitter.com/Prathkum/status/1468627769756041216,2021-12-08 17:05:20+00:00
@csaba_kissi 🤩🤩🤩,https://twitter.com/Prathkum/status/1468546196658704384,2021-12-08 11:41:12+00:00
"I literally started off on Twitter quite unexpectedly and now I have over 142,000 followers on my account.

Made over $35,000 in six months and don't know where this money is coming from. All thanks to Twitter. 🙌🏻",https://twitter.com/Prathkum/status/1468274801659629573,2021-12-07 17:42:46+00:00
@vivekthedev Nah! For meetings and sessions.,https://twitter.com/Prathkum/status/1468215091099095041,2021-12-07 13:45:30+00:00
@htmleverything Nope! Have been using it for 7 months.,https://twitter.com/Prathkum/status/1468214991966801922,2021-12-07 13:45:06+00:00
@csaba_kissi @Rapid_API he always spies 😉,https://twitter.com/Prathkum/status/1468214189382529024,2021-12-07 13:41:55+00:00
All black 🖤🔥 https://t.co/wq0eKdEh61,https://twitter.com/Prathkum/status/1468205591503912962,2021-12-07 13:07:45+00:00
@swastika0015 @Adyasha8105 My bad! 😂,https://twitter.com/Prathkum/status/1468139830571765760,2021-12-07 08:46:26+00:00
@Adyasha8105 Guess who was already following me. It’s @Adyasha8105 🙌🏻😁,https://twitter.com/Prathkum/status/1468128353328660482,2021-12-07 08:00:50+00:00
"@Rapid_API I’m delighted 🥳

I’m fortunate to be a part of @Rapid_API.",https://twitter.com/Prathkum/status/1468117422683025414,2021-12-07 07:17:24+00:00
@monsterous__me 🐽,https://twitter.com/Prathkum/status/1467920746928214018,2021-12-06 18:15:53+00:00
@The_GreatBonnie I love connecting with the awesome people 🙏❤️,https://twitter.com/Prathkum/status/1467812007139176448,2021-12-06 11:03:47+00:00
@sunilc_ Congratulations Sunil 🤩🚀,https://twitter.com/Prathkum/status/1467523076451569664,2021-12-05 15:55:41+00:00
"@Rapid_API Security and versioning parts are very well written. 

The two most important things of any API.",https://twitter.com/Prathkum/status/1467107945221701633,2021-12-04 12:26:06+00:00
@DeepanjaliPande @Rapid_API 😉,https://twitter.com/Prathkum/status/1467107667592294400,2021-12-04 12:25:00+00:00
"If you divide web development into 8 parts, it becomes a little easier.

Part 1: HTML and CSS 🧱🎨
Part 2: CSS frameworks 🧮
Part 3: JS and DOM ⚙️📃
Part 4: Git and GitHub 🗂️
Part 5: React / Angular / Vue ⚛️
Part 6: Node.js 🔙🔚
Part 7: API - @Rapid_API 🐙
Part 8: Database 🗄️",https://twitter.com/Prathkum/status/1467106829180321794,2021-12-04 12:21:40+00:00
"This is the tweet. 

https://t.co/q5KOJSl7fQ",https://twitter.com/Prathkum/status/1467093881636278272,2021-12-04 11:30:13+00:00
"Yes, getting 1 million views on a YouTube video is insane. But getting 1 million impressions on a tweet is equally tempting. https://t.co/srvCC5O0rE",https://twitter.com/Prathkum/status/1467090266829950981,2021-12-04 11:15:51+00:00
"If you think you can’t earn money by providing true values. Don’t forget I made over $10,000 just by my $2 CSS cheat sheet eBook.

Focus on providing values, money will come eventually.",https://twitter.com/Prathkum/status/1467023435083620353,2021-12-04 06:50:17+00:00
@pokecoder I’m here to help. Here are 10 threads that can help.,https://twitter.com/Prathkum/status/1467011659428368384,2021-12-04 06:03:30+00:00
"@MakadiaHarsh Perfect analogy! 🙌🏻

I personally haven’t put much thinking into web3 space yet facing on issues for now.",https://twitter.com/Prathkum/status/1467009848747257858,2021-12-04 05:56:18+00:00
You don’t necessarily need to learn web3 to get a job in tech. Don’t get overwhelmed by all those web3 tweets.,https://twitter.com/Prathkum/status/1467008722366971905,2021-12-04 05:51:49+00:00
"Five advantages of using semantic HTML 👇

- Easy to maintain ⚙️
- More readable code 🧹
- Machine and Human friendly 🤝
- Increase accessibility ♿
- Improve SEO 🔍 https://t.co/9VIZP2TNge",https://twitter.com/Prathkum/status/1466484906071109635,2021-12-02 19:10:22+00:00
"Developer advocacy is tough. More than a core developer job I believe. It's not easy to make up a developer's mind to use/subscribe to your products

If you’re selling something to developers, consider a good Developer Advocate.",https://twitter.com/Prathkum/status/1466426537054461953,2021-12-02 15:18:25+00:00
